state,county_name,office,district,candidate,column,magnitude,party,party_detailed
ALASKA,STATEWIDE,STATE HOUSE,016,"BAUER, PAUL A.",106,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,016,WRITE-IN,108,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,016,UNDERVOTE?,105,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,017,"JOSEPHSON, ANDREW L. (ANDY)",109,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,017,WRITE-IN,110,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,017,UNDERVOTE?,109,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,018,"DRUMMOND, HARRIET A.",111,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,018,WRITE-IN,112,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,018,UNDERVOTE?,111,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,019,"TARR, GERAN",113,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,019,WRITE-IN,114,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,019,UNDERVOTE?,113,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,020,"FIELDS, WILLIAM Z. ZACK",115,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,020,WRITE-IN,116,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,020,UNDERVOTE?,115,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,021,"CLAMAN, MATT",118,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,021,"LARGENT, LYNETTE A.",117,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,021,WRITE-IN,119,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,021,UNDERVOTE?,117,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,022,"NEES, DAVID W.",121,1,AIP,AIP
ALASKA,STATEWIDE,STATE HOUSE,022,"TRIMBLE, STEPHEN T.",122,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,022,"RASMUSSEN, SARA E.",120,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,022,WRITE-IN,123,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,022,UNDERVOTE?,120,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,023,"HUIT, TIMOTHY R.",125,1,AIP,AIP
ALASKA,STATEWIDE,STATE HOUSE,023,"TUCK, CHRIS S.",126,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,023,"HENSLEE, KATHERINE J. (KATHY)",124,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,023,WRITE-IN,127,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,023,UNDERVOTE?,124,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,024,"LEVI, SUE",128,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,024,"MCKAY, THOMAS W. (TOM)",129,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,024,WRITE-IN,130,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,024,UNDERVOTE?,128,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,025,"SCHRAGE, CALVIN R.",132,1,DEM?,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,025,"GILLIS, MEL",131,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,025,WRITE-IN,133,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,025,UNDERVOTE?,131,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,026,"SHAW, LADDIE H.",134,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,026,WRITE-IN,135,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,026,UNDERVOTE?,134,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,027,"SNYDER, LIZ",137,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,027,"PRUITT, LANCE D.",136,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,027,WRITE-IN,138,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,027,UNDERVOTE?,136,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,028,"LAFRANCE, SUZANNE M.",139,1,DEM?,DEMOCRAT
