state,county_name,precinct,candidate,votes,office,district,party_detailed,party_simplified
NEW MEXICO,DONA ANA,PRECINCT 117,BRANDI L POLANCO,213,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 118,BRANDI L POLANCO,404,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 119,BRANDI L POLANCO,247,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 121,BRANDI L POLANCO,138,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 122,BRANDI L POLANCO,365,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 123,BRANDI L POLANCO,391,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 124,BRANDI L POLANCO,296,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 131,BRANDI L POLANCO,250,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 145,BRANDI L POLANCO,335,STATE HOUSE,36,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 033,ISABELLA SOLIS,153,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 034,ISABELLA SOLIS,307,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 059,ISABELLA SOLIS,353,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 061,ISABELLA SOLIS,245,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 062,ISABELLA SOLIS,393,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 067,ISABELLA SOLIS,258,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 068,ISABELLA SOLIS,152,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 069,ISABELLA SOLIS,193,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 070,ISABELLA SOLIS,118,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 071,ISABELLA SOLIS,226,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 093,ISABELLA SOLIS,53,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 094,ISABELLA SOLIS,94,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 102,ISABELLA SOLIS,271,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 103,ISABELLA SOLIS,271,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 106,ISABELLA SOLIS,237,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 112,ISABELLA SOLIS,524,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 113,ISABELLA SOLIS,283,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 116,ISABELLA SOLIS,573,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 128,ISABELLA SOLIS,284,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 129,ISABELLA SOLIS,261,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 130,ISABELLA SOLIS,397,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 135,ISABELLA SOLIS,149,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 137,ISABELLA SOLIS,244,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 138,ISABELLA SOLIS,125,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 139,ISABELLA SOLIS,432,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 140,ISABELLA SOLIS,228,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 141,ISABELLA SOLIS,352,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 142,ISABELLA SOLIS,440,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 143,ISABELLA SOLIS,315,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 144,ISABELLA SOLIS,164,STATE HOUSE,37,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 033,JOANNE J FERRARY,284,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 034,JOANNE J FERRARY,487,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 059,JOANNE J FERRARY,381,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 061,JOANNE J FERRARY,347,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 062,JOANNE J FERRARY,369,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 067,JOANNE J FERRARY,377,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 068,JOANNE J FERRARY,210,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 069,JOANNE J FERRARY,281,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 070,JOANNE J FERRARY,212,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 071,JOANNE J FERRARY,310,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 093,JOANNE J FERRARY,94,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 094,JOANNE J FERRARY,225,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 102,JOANNE J FERRARY,250,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 103,JOANNE J FERRARY,331,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 106,JOANNE J FERRARY,256,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 112,JOANNE J FERRARY,459,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 113,JOANNE J FERRARY,345,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 116,JOANNE J FERRARY,535,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 128,JOANNE J FERRARY,227,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 129,JOANNE J FERRARY,308,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 130,JOANNE J FERRARY,330,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 135,JOANNE J FERRARY,232,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 137,JOANNE J FERRARY,324,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 138,JOANNE J FERRARY,201,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 139,JOANNE J FERRARY,481,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 140,JOANNE J FERRARY,238,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 141,JOANNE J FERRARY,295,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 142,JOANNE J FERRARY,398,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 143,JOANNE J FERRARY,391,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 144,JOANNE J FERRARY,175,STATE HOUSE,37,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 001,WILLIAM PARRISH KINNEY,8,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 002,WILLIAM PARRISH KINNEY,10,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 005,WILLIAM PARRISH KINNEY,28,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 011,WILLIAM PARRISH KINNEY,17,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 012,WILLIAM PARRISH KINNEY,20,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 013,WILLIAM PARRISH KINNEY,17,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 014,WILLIAM PARRISH KINNEY,14,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 015,WILLIAM PARRISH KINNEY,20,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 016,WILLIAM PARRISH KINNEY,17,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 017,WILLIAM PARRISH KINNEY,7,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 020,WILLIAM PARRISH KINNEY,20,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 021,WILLIAM PARRISH KINNEY,6,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 022,WILLIAM PARRISH KINNEY,27,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 030,WILLIAM PARRISH KINNEY,12,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 037,WILLIAM PARRISH KINNEY,14,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 038,WILLIAM PARRISH KINNEY,21,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 039,WILLIAM PARRISH KINNEY,9,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,GRANT,PRECINCT 001,REBECCA L DOW,300,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 002,REBECCA L DOW,241,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 003,REBECCA L DOW,15,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 004,REBECCA L DOW,38,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 005,REBECCA L DOW,416,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 006,REBECCA L DOW,47,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 007,REBECCA L DOW,170,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 011,REBECCA L DOW,397,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 012,REBECCA L DOW,320,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 013,REBECCA L DOW,415,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 014,REBECCA L DOW,283,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 015,REBECCA L DOW,300,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 016,REBECCA L DOW,299,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 017,REBECCA L DOW,155,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 018,REBECCA L DOW,98,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 020,REBECCA L DOW,147,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 021,REBECCA L DOW,29,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 022,REBECCA L DOW,179,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 030,REBECCA L DOW,263,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 035,REBECCA L DOW,57,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 037,REBECCA L DOW,278,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 038,REBECCA L DOW,336,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 039,REBECCA L DOW,191,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 001,KAREN C WHITLOCK,66,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 002,KAREN C WHITLOCK,144,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 003,KAREN C WHITLOCK,24,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 004,KAREN C WHITLOCK,42,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 005,KAREN C WHITLOCK,292,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 006,KAREN C WHITLOCK,14,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 007,KAREN C WHITLOCK,164,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 011,KAREN C WHITLOCK,158,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 012,KAREN C WHITLOCK,250,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 013,KAREN C WHITLOCK,336,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 014,KAREN C WHITLOCK,343,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 015,KAREN C WHITLOCK,346,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 016,KAREN C WHITLOCK,291,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 017,KAREN C WHITLOCK,123,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 018,KAREN C WHITLOCK,250,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 020,KAREN C WHITLOCK,357,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 021,KAREN C WHITLOCK,112,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 022,KAREN C WHITLOCK,345,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 030,KAREN C WHITLOCK,144,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 035,KAREN C WHITLOCK,17,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 037,KAREN C WHITLOCK,133,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 038,KAREN C WHITLOCK,371,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 039,KAREN C WHITLOCK,172,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,SIERRA,PRECINCT 002,WILLIAM PARRISH KINNEY,43,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,SIERRA,PRECINCT 004,WILLIAM PARRISH KINNEY,11,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,SIERRA,PRECINCT 005,WILLIAM PARRISH KINNEY,21,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,SIERRA,PRECINCT 006,WILLIAM PARRISH KINNEY,7,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,SIERRA,PRECINCT 007,WILLIAM PARRISH KINNEY,16,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,SIERRA,PRECINCT 008,WILLIAM PARRISH KINNEY,21,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,SIERRA,PRECINCT 009,WILLIAM PARRISH KINNEY,28,STATE HOUSE,38,LIBERTARIAN,LIBERTARIAN
NEW MEXICO,SIERRA,PRECINCT 002,REBECCA L DOW,1147,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,SIERRA,PRECINCT 003,REBECCA L DOW,182,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,SIERRA,PRECINCT 004,REBECCA L DOW,178,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,SIERRA,PRECINCT 005,REBECCA L DOW,615,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,SIERRA,PRECINCT 006,REBECCA L DOW,69,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,SIERRA,PRECINCT 007,REBECCA L DOW,317,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,SIERRA,PRECINCT 008,REBECCA L DOW,314,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,SIERRA,PRECINCT 009,REBECCA L DOW,582,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,SIERRA,PRECINCT 002,KAREN C WHITLOCK,304,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,SIERRA,PRECINCT 003,KAREN C WHITLOCK,60,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,SIERRA,PRECINCT 004,KAREN C WHITLOCK,49,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,SIERRA,PRECINCT 005,KAREN C WHITLOCK,269,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,SIERRA,PRECINCT 006,KAREN C WHITLOCK,142,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,SIERRA,PRECINCT 007,KAREN C WHITLOCK,264,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,SIERRA,PRECINCT 008,KAREN C WHITLOCK,221,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,SIERRA,PRECINCT 009,KAREN C WHITLOCK,321,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,HIDALGO,PRECINCT 4 - VIRDEN,REBECCA L DOW,169,STATE HOUSE,38,REPUBLICAN,REPUBLICAN
NEW MEXICO,HIDALGO,PRECINCT 4 - VIRDEN,KAREN C WHITLOCK,23,STATE HOUSE,38,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 003,RODOLPHO S MARTINEZ,132,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 004,RODOLPHO S MARTINEZ,377,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 019,RODOLPHO S MARTINEZ,231,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 021,RODOLPHO S MARTINEZ,365,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 038,RODOLPHO S MARTINEZ,173,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 060,RODOLPHO S MARTINEZ,61,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 063,RODOLPHO S MARTINEZ,319,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 100,RODOLPHO S MARTINEZ,221,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 107,RODOLPHO S MARTINEZ,383,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 111,RODOLPHO S MARTINEZ,44,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 115,RODOLPHO S MARTINEZ,209,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 146,RODOLPHO S MARTINEZ,230,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 147,RODOLPHO S MARTINEZ,239,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,DONA ANA,PRECINCT 003,LUIS M TERRAZAS,136,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 004,LUIS M TERRAZAS,190,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 019,LUIS M TERRAZAS,314,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 021,LUIS M TERRAZAS,438,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 038,LUIS M TERRAZAS,80,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 060,LUIS M TERRAZAS,77,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 063,LUIS M TERRAZAS,374,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 100,LUIS M TERRAZAS,280,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 107,LUIS M TERRAZAS,473,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 111,LUIS M TERRAZAS,86,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 115,LUIS M TERRAZAS,338,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 146,LUIS M TERRAZAS,250,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,DONA ANA,PRECINCT 147,LUIS M TERRAZAS,118,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 008,RODOLPHO S MARTINEZ,214,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 009,RODOLPHO S MARTINEZ,93,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 010,RODOLPHO S MARTINEZ,66,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 019,RODOLPHO S MARTINEZ,188,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 023,RODOLPHO S MARTINEZ,73,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 024,RODOLPHO S MARTINEZ,96,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 025,RODOLPHO S MARTINEZ,162,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 026,RODOLPHO S MARTINEZ,139,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 027,RODOLPHO S MARTINEZ,149,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 028,RODOLPHO S MARTINEZ,212,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 029,RODOLPHO S MARTINEZ,118,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 032,RODOLPHO S MARTINEZ,95,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 033,RODOLPHO S MARTINEZ,132,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 034,RODOLPHO S MARTINEZ,159,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 036,RODOLPHO S MARTINEZ,177,STATE HOUSE,39,DEMOCRAT,DEMOCRAT
NEW MEXICO,GRANT,PRECINCT 008,LUIS M TERRAZAS,361,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 009,LUIS M TERRAZAS,102,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 010,LUIS M TERRAZAS,96,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 019,LUIS M TERRAZAS,112,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 023,LUIS M TERRAZAS,127,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
NEW MEXICO,GRANT,PRECINCT 024,LUIS M TERRAZAS,144,STATE HOUSE,39,REPUBLICAN,REPUBLICAN
